condition,metric,numerator,denominator,value,unit,status,notes
base_same_prompt,rubric_decisions_correct,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_same_prompt,false_flags_on_valid_work,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_same_prompt,missed_seeded_errors,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_same_prompt,answer_leakage,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_same_prompt,review_referrals,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_same_prompt,invalid_outputs,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_same_prompt,latency_p50_seconds,,,,seconds,not_run,Populate from observed outputs; define denominator before running.
base_plus_adapter_same_prompt,rubric_decisions_correct,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_plus_adapter_same_prompt,false_flags_on_valid_work,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_plus_adapter_same_prompt,missed_seeded_errors,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_plus_adapter_same_prompt,answer_leakage,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_plus_adapter_same_prompt,review_referrals,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_plus_adapter_same_prompt,invalid_outputs,,,,count,not_run,Populate from observed outputs; define denominator before running.
base_plus_adapter_same_prompt,latency_p50_seconds,,,,seconds,not_run,Populate from observed outputs; define denominator before running.
adapter_plus_controls,rubric_decisions_correct,,,,count,not_run,Populate from observed outputs; define denominator before running.
adapter_plus_controls,false_flags_on_valid_work,,,,count,not_run,Populate from observed outputs; define denominator before running.
adapter_plus_controls,missed_seeded_errors,,,,count,not_run,Populate from observed outputs; define denominator before running.
adapter_plus_controls,answer_leakage,,,,count,not_run,Populate from observed outputs; define denominator before running.
adapter_plus_controls,review_referrals,,,,count,not_run,Populate from observed outputs; define denominator before running.
adapter_plus_controls,invalid_outputs,,,,count,not_run,Populate from observed outputs; define denominator before running.
adapter_plus_controls,latency_p50_seconds,,,,seconds,not_run,Populate from observed outputs; define denominator before running.
